ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20658,1,1,65,1,6,2,0,0,,3,18,,1,,,AN,,,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,372,,,,,2,3,,,,1,,,6,9,,16149,
178,1,18,20658,1,2,65,2,1,1,0,0,,3,7,,1,,,P2,,12,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,242,,,,,2,,,,,1,,,6,9,,16149,
178,1,18,20659,1,1,35,1,1,2,0,0,,4,18,,1,,,S1,,15,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,8,1,,1,48,,,,2,3,,,2,2,1,,,6,6,,23562,
178,1,18,20659,1,2,35,2,6,1,0,0,,1,18,,1,,,P2,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,8,1,,1,64,,,,2,3,,,2,2,1,,,6,6,,23562,
178,1,18,20659,2,3,0,3,1,0,1,2,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,31633,
178,1,18,20660,1,1,30,1,6,0,0,0,,2,18,,1,,,S1,,14,3,,3,,,,1,,,,,,9,7,8,,6,,1,0,,12,12,18,,6,5,2000,2000,2000,6,,,,6,,,,,1,1,,40,6,,,,,,,,,,,,,,,2,3,,,1,1,1,,,1,3,14,19599,
178,1,18,20660,2,2,5,3,6,0,0,1,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,30629,
178,1,18,20660,2,3,0,3,1,0,0,1,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,31633,
178,1,18,20661,1,1,40,1,6,2,0,0,,1,18,,1,,,P2,,13,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,8,1,,1,0,9,9,8,3,3,,,2,2,1,,,1,6,14,20379,
178,1,18,20661,1,2,40,2,1,1,0,0,,1,18,,1,,,SP,,20,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,8,,,,1,,1,0,9,4,8,3,7,,,,,1,,,1,8,,20379,
178,1,18,20661,1,3,20,3,1,0,2,1,,1,18,,1,,,SG,,18,3,,3,,,,1,,,,,,9,5,8,,6,,1,0,,19,19,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,,,,1,1,1,,,1,4,17,20379,
178,1,18,20661,1,4,20,3,1,0,2,1,,1,18,,1,,,S1,,17,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,6,1,,1,2,9,4,8,3,,,,2,2,1,,,1,6,17,20379,
178,1,18,20661,1,5,16,3,1,0,2,1,,1,18,,1,,,S1,,16,1,SG,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,6,1,6,,,,,3,1,,,,,1,,,6,9,,20379,
178,1,18,20662,1,1,45,1,6,0,0,0,,4,,200,3,200,15,SG,,26,3,,3,,,,1,,,,,,5,8,8,,6,,1,0,,0,0,18,,6,5,1600,1600,600,6,,,8,6,,,,,1,1,,40,1,,,1,,1,5,8,1,,,,,,,2,3,,,1,2,1,,,1,3,14,49098,
178,1,18,20662,1,2,45,7,6,0,0,0,,2,,200,3,200,10,S1,,18,3,,3,,,,1,,,,,,9,5,8,,6,,1,6,,6,8,18,,1,,9999,9999,9999,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,49098,
178,1,18,20663,1,1,55,1,6,2,0,0,,2,18,,1,,,S1,,16,3,,3,,,,1,,,,,,8,8,7,3,6,,1,12,,0,128,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,16,16615,
178,1,18,20663,1,2,65,2,1,1,0,0,,2,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,23,,,,3,2,,,,,1,,,6,9,,16615,
